,BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,FORMATTED_ADDRESS,STATE,ZIP,COUNTY,CITY,STR_NAME,LATITUDE,LONGITUDE
60,Brown Harris Stevens - 445 Park Avenue,Co-op for sale,849000,1,1,2184,"263 West End Ave #14c, New York, NY 10023, USA",New York,10023,New York County,New York,End Ave,40.7802357,-73.9846328
61,Piastro Realty LLC,Co-op for sale,559500,1,1,800,"50 Brighton 1st Rd #5h, Brooklyn, NY 11235, USA",New York,11235,Kings County,Brooklyn,1st Rd,40.5751942,-73.9669983
62,Douglas Elliman - 575 Madison Ave,Co-op for sale,750000,1,1,835,"333 E 66th St #8e, New York, NY 10065, USA",New York,10065,New York County,New York,66th St,40.7643711,-73.9593578
63,Douglas Elliman - 575 Madison Ave,Condo for sale,1900000,2,2,1029,"150 Rivington St #3g, New York, NY 10002, USA",New York,10002,New York County,New York,Rivington St,40.7193408,-73.9856438
64,Corcoran Williamsburg Bedford,Condo for sale,1250000,2,2,1201,"1105 Cortelyou Rd #301, Brooklyn, NY 11218, USA",New York,11218,Kings County,Brooklyn,Cortelyou Rd,40.6400234,-73.9676099
65,COMPASS,Condo for sale,1395000,2,2,1182,"737 Bergen St #1b, Brooklyn, NY 11238, USA",New York,11238,Kings County,Brooklyn,Bergen St,40.6787789,-73.9643728
66,Monticello Real Estate Group,Co-op for sale,198000,1,1,2184,"83-55 Woodhaven Blvd #1a, Woodhaven, NY 11421, USA",New York,11421,Queens County,Woodhaven,Woodhaven Blvd,40.700309,-73.8535466
67,Better Homes and Gardens Real Estate Safari Realty,Contingent,619888,3,2,1400,"35 Center Pl, Staten Island, NY 10306, USA",New York,10306,Richmond County,Staten Island,Center Pl,40.5632116,-74.1002521
68,Ashford Homes,Multi-family home for sale,1489000,6,2,3780,"205 Wiman Ave, Staten Island, NY 10308, USA",New York,10308,Richmond County,Staten Island,Wiman Ave,40.5395319,-74.1450877
69,Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,65000000,3,2,15200,"4 E 79th St, New York, NY 10075, USA",New York,10075,New York County,New York,79th St,40.7765613,-73.9633167
70,Serhant,Condo for sale,1595000,3,3,1413,"924 Lafayette Ave, Brooklyn, NY 11221, USA",New York,11221,Kings County,Brooklyn,Lafayette Ave,40.6915139,-73.935444
71,Douglas Elliman - 575 Madison Ave,Condo for sale,655000,3,2,803,"1504 Jefferson Ave, Brooklyn, NY 11237, USA",New York,11237,Kings County,Brooklyn,Jefferson Ave,40.6967268,-73.9074036
72,Serhant,Condo for sale,1175000,2,2,1115,"924 Lafayette Ave #2, Brooklyn, NY 11221, USA",New York,11221,Kings County,Brooklyn,Lafayette Ave,40.6915139,-73.935444
73,E Realty International Corp,Multi-family home for sale,2880000,9,2,2350,"16-33 166th St, Flushing, NY 11357, USA",New York,11357,Queens County,Whitestone,166th St,40.7832094,-73.7967588
74,Momentum Real Estate LLC,Multi-family home for sale,798000,3,4,2150,"425 Father Capodanno Blvd, Staten Island, NY 10305, USA",New York,10305,Richmond County,Staten Island,Father Blvd,40.5874844,-74.0701056
75,"Apaus, Inc",Land for sale,1685000,3,2,2184,"519 Fairview Ave, Ridgewood, NY 11385, USA",New York,11385,Queens County,Ridgewood,Fairview Ave,40.7083434,-73.9081614
76,Corcoran Chelsea/Flatiron,Condo for sale,31000000,3,4,4492,"111 W 57th St #50, New York, NY 10019, USA",New York,10019,New York County,New York,57th St,40.764953,-73.977568
77,"Dom Realty, Inc",Land for sale,2550000,3,2,2184,"234 Ocean View Ave, Brooklyn, NY 11235, USA",New York,11235,Kings County,Brooklyn,Ocean Ave,40.5785288,-73.9655666
78,Meyers Enterprise Realty Group,Land for sale,119000,3,2,2184,"3652 De Reimer Ave, Bronx, NY 10466, USA",New York,10466,Bronx County,Bronx,De Ave,40.8841699,-73.8388387
79,Gosen Properties Inc,Foreclosure,269000,5,2,2184,"241-49 148th Dr, Jamaica, NY 11422, USA",New York,11422,Queens County,Rosedale,148th Dr,40.6534433,-73.741373
