,BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,FORMATTED_ADDRESS,STATE,ZIP,COUNTY,CITY,STR_NAME,LATITUDE,LONGITUDE
2276,Corcoran Williamsburg Driggs,Condo for sale,1595000,3,2,1375,"149 Dupont St #3, Brooklyn, NY 11222, USA",New York,11222,Kings County,Brooklyn,Dupont St,40.7361991,-73.9538716
2277,Brown Harris Stevens,Co-op for sale,435000,3,1,2184,"110 Thompson St #2a, New York, NY 10012, USA",New York,10012,New York County,New York,Thompson St,40.7257358,-74.0017575
2278,Katz Realty,House for sale,649000,3,3,1456,"58 Roanoke St, Staten Island, NY 10314, USA",New York,10314,Richmond County,Staten Island,Roanoke St,40.5972983,-74.1347274
2279,RE MAX Real Estate Professionals,House for sale,995000,2,2,800,"1809 W 3rd St, Brooklyn, NY 11223, USA",New York,11223,Kings County,Brooklyn,3rd St,40.603454,-73.9756682
2280,Holly's Staten Island Buzz Realty Inc.,Condo for sale,1338000,3,2,2082,"90 Bay Street Landing #8g, Staten Island, NY 10301, USA",New York,10301,Richmond County,Staten Island,Bay Landing,40.6403656,-74.0737574
2281,"Weichert, Realtors - Larchmont",House for sale,499000,2,2,1146,"4302 Boyd Ave, Bronx, NY 10466, USA",New York,10466,Bronx County,Bronx,Boyd Ave,40.8955154,-73.8510754
2282,Prospes Real Estate Corp,Multi-family home for sale,2280000,6,5,2184,"40-18 190th St, Flushing, NY 11358, USA",New York,11358,Queens County,Flushing,190th St,40.7603734,-73.7918178
2283,Instahomes Realty LLC,House for sale,660000,3,2,2184,"949 Schenck Ave, Brooklyn, NY 11207, USA",New York,11207,Kings County,Brooklyn,Schenck Ave,40.6574259,-73.8808077
2284,RE MAX Edge,Co-op for sale,349000,2,1,800,"3235 Emmons Ave Apt 625, Brooklyn, NY 11235, USA",New York,11235,Kings County,Brooklyn,Emmons Ave,40.5844399,-73.9316116
2285,Douglas Elliman - 575 Madison Ave,House for sale,14750000,6,6,8790,"7 E 69th St, New York, NY 10021, USA",New York,10021,New York County,New York,69th St,40.7703119,-73.967354
2286,Re/Max Edge,House for sale,160000,2,1,900,"2701 Goethals Rd N d4, Staten Island, NY 10303, USA",New York,10303,Richmond County,Staten Island,Goethals Rd,40.6281757,-74.1797234
2287,"Nest Seekers International, Midtown",Condo for sale,12500000,4,4,3550,"100 Vandam St #6a, New York, NY 10013, USA",New York,10013,New York County,New York,Vandam St,40.7266327,-74.0088321
2288,Ilite Realty Inc,Condo for sale,370000,3,1,462,"1657 E 19th St #8b, Brooklyn, NY 11229, USA",New York,11229,Kings County,Brooklyn,19th St,40.6096365,-73.9544149
2289,COMPASS,Co-op for sale,600000,1,1,715,"545 W 111th St #2b, New York, NY 10025, USA",New York,10025,New York County,New York,111th St,40.8043692,-73.964408
2290,Corcoran Park Avenue South,Condo for sale,1950000,2,2,1000,"200 E 89th St APT 42B, New York, NY 10128, USA",New York,10128,New York County,New York,89th St,40.7805098,-73.9523992
2291,Douglas Elliman - 575 Madison Ave,Co-op for sale,2000000,3,2,1800,"239 E 79th St #8f, New York, NY 10075, USA",New York,10075,New York County,New York,79th St,40.7737882,-73.9551436
2292,Voro Llc,Multi-family home for sale,1250828,7,2,2184,"59-43 Madison St, Flushing, NY 11385, USA",New York,11385,Queens County,Ridgewood,Madison St,40.7063804,-73.9009749
2293,RE MAX Real Estate Professionals,House for sale,1149000,4,3,1800,"284 Sullivan Pl, Brooklyn, NY 11225, USA",New York,11225,Kings County,Brooklyn,Sullivan Pl,40.6644629,-73.951745
2294,BESMATCH REAL ESTATE,Co-op for sale,329999,2,1,950,"880 Boynton Ave #18f, Bronx, NY 10473, USA",New York,10473,Bronx County,Bronx,Boynton Ave,40.8214206,-73.8759785
2295,Brown Harris Stevens Forest Hills LLC,Co-op for sale,390000,2,1,1100,"112-50 78th Ave, Forest Hills, NY 11375, USA",New York,11375,Queens County,Forest Hills,78th Ave,40.7155654,-73.8311146
2296,COMPASS,Co-op for sale,400000,3,1,2184,"2025 Broadway #17g, New York, NY 10023, USA",New York,10023,New York County,New York,Broadway,40.7770746,-73.9824749
2297,Bo's Prime Realty,Co-op for sale,239000,1,1,700,"150 West End Ave #1j, Brooklyn, NY 11235, USA",New York,11235,Kings County,Brooklyn,End Ave,40.5782536,-73.9534785
2298,Signature Premier Properties,Multi-family home for sale,1188888,4,2,2184,"132-14 Horace Harding Expy, Flushing, NY 11367, USA",New York,11367,Queens County,Flushing,Horace Expy,40.7427492,-73.8333091
2299,COMPASS,Condo for sale,18500000,4,4,4856,"73 Wooster St, New York, NY 10012, USA",New York,10012,New York County,New York,Wooster St,40.7238868,-74.0021541
2300,Mjr Real Estate Llc,Co-op for sale,567000,3,2,2184,"97-37 63rd Rd #3e, Rego Park, NY 11374, USA",New York,11374,Queens County,Rego Park,63rd Rd,40.7318958,-73.8599645
2301,COMPASS,Condo for sale,8900000,5,5,4297,"200 West End Ave, New York, NY 10023, USA",New York,10023,New York County,New York,End Ave,40.7779612,-73.9854593
2302,RE/MAX Team,Co-op for sale,189000,3,1,2184,"9011 35th Ave Apt 1f, Jackson Heights, NY 11372, USA",New York,11372,Queens County,Jackson Heights,35th Ave,40.7525699,-73.87724
2303,Keller Williams Rlty Landmark,House for sale,985000,3,2,2184,"82-61 172nd St, Jamaica, NY 11432, USA",New York,11432,Queens County,Jamaica,172nd St,40.7181351,-73.7934614
2304,COMPASS,Co-op for sale,839000,3,2,1120,"447 Fort Washington Ave Apt 44, New York, NY 10033, USA",New York,10033,New York County,New York,Fort Ave,40.8501059,-73.9387857
2305,Corcoran East Side,Co-op for sale,995000,3,2,2184,"455 E 51st St #4f, New York, NY 10022, USA",New York,10022,New York County,New York,51st St,40.7540096,-73.9637466
2306,"Erealty Advisors, Inc",Condo for sale,1439000,4,2,1625,"800 Bedford Ave APT 4A, Brooklyn, NY 11205, USA",New York,11205,Kings County,Brooklyn,Bedford Ave,40.6972584,-73.9569997
2307,East Coast REALTORS Inc,Co-op for sale,379000,2,1,900,"144-40 71st Ave #2, Flushing, NY 11367, USA",New York,11367,Queens County,Flushing,71st Ave,40.7282764,-73.8208847
2308,Corcoran East Side,Co-op for sale,3195000,4,4,2184,"425 E 63rd St, New York, NY 10065, USA",New York,10065,New York County,New York,63rd St,40.7617185,-73.9587133
2309,"Erealty Advisors, Inc",Condo for sale,1439000,4,2,1625,"800 Bedford Ave APT 4A, Brooklyn, NY 11205, USA",New York,11205,Kings County,Brooklyn,Bedford Ave,40.6972584,-73.9569997
2310,Werba Realty Llc,Multi-family home for sale,1245000,5,2,1800,"64-56 Woodbine St, Ridgewood, NY 11385, USA",New York,11385,Queens County,Ridgewood,Woodbine St,40.7085881,-73.8934355
2311,COMPASS,Townhouse for sale,1995000,4,4,2184,"1069 Lincoln Pl, Brooklyn, NY 11213, USA",New York,11213,Kings County,Brooklyn,Lincoln Pl,40.670429,-73.9411141
2312,OneSpace Realty Group LLC,Multi-family home for sale,365000,4,3,1600,"148 Brighton Ave, Staten Island, NY 10301, USA",New York,10301,Richmond County,Staten Island,Brighton Ave,40.6352888,-74.090616
2313,Corcoran Long Island City,Condo for sale,950000,2,2,1025,"12-15 Broadway, Long Island City, NY 11106, USA",New York,11106,Queens County,Astoria,Broadway,40.7669131,-73.9342893
2314,Corcoran Chelsea/Flatiron,House for sale,4195000,6,6,2184,"9 Clinton St, New York, NY 10002, USA",New York,10002,New York County,New York,Clinton St,40.7210845,-73.9842397
2315,"John Edwards Real Estate, Inc.",Condo for sale,209000,1,1,658,"1594 Unionport Rd #2a, Bronx, NY 10462, USA",New York,10462,Bronx County,Bronx,Unionport Rd,40.8391003,-73.8566691
2316,Real Broker LLC,Pending,1390000,5,4,1992,"1429 Avenue H, Brooklyn, NY 11230, USA",New York,11230,Kings County,Brooklyn,Avenue H,40.6302066,-73.962272
2317,COMPASS,Condo for sale,8250000,6,6,3920,"306 Mott St, New York, NY 10012, USA",New York,10012,New York County,New York,Mott St,40.7250022,-73.9938611
2318,Remax Edge - RE/MAX EDGE,Co-op for sale,429000,2,1,850,"9411 Shore Rd, Brooklyn, NY 11209, USA",New York,11209,Kings County,Brooklyn,Shore Rd,40.617623,-74.038637
2319,Douglas Elliman - 575 Madison Ave,House for sale,950000,1,1,2184,"310 E 46th St #17h, New York, NY 10017, USA",New York,10017,New York County,New York,46th St,40.751918,-73.9698335
2320,TALK OF THE TOWN REALTY C,House for sale,699000,3,3,2835,"4716 Avenue H, Brooklyn, NY 11234, USA",New York,11234,Kings County,Brooklyn,Avenue H,40.6324811,-73.9306778
2321,Coldwell Banker Reliable,Condo for sale,450000,1,1,724,"2120 Ocean Ave #5b, Brooklyn, NY 11229, USA",New York,11229,Kings County,Brooklyn,Ocean Ave,40.610069,-73.9537478
2322,RELIABLE SELL & BUY REALTY INC,House for sale,1190000,4,2,1500,"2330 E 15th St, Brooklyn, NY 11229, USA",New York,11229,Kings County,Brooklyn,15th St,40.5935138,-73.9556712
2323,COMPASS,Co-op for sale,2995000,2,2,2184,"10 Park Ave # 25e, New York, NY 10016, USA",New York,10016,New York County,New York,Park Ave,40.7474421,-73.9813221
2324,Keller Williams Realty Greater Nassau,Condo for sale,349980,3,1,2184,"150-38 Union Tpke #8c, Flushing, NY 11367, USA",New York,11367,Queens County,Flushing,Union Tpke,40.7187728,-73.811168
2325,"Homes R Us Realty of NY, Inc.",Contingent,339000,1,1,693,"4219 Amboy Rd #4a, Staten Island, NY 10308, USA",New York,10308,Richmond County,Staten Island,Amboy Rd,40.5475295,-74.1568654
2326,Panache Realty Co,House for sale,649000,3,2,1257,"287 E 34th St, Brooklyn, NY 11203, USA",New York,11203,Kings County,Brooklyn,34th St,40.6499215,-73.9453734
2327,Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,4695000,3,4,2600,"1100 Park Ave #11c, New York, NY 10128, USA",New York,10128,New York County,New York,Park Ave,40.7824395,-73.9561648
2328,Exp Realty,Co-op for sale,189999,1,1,2184,"3230 93rd St Apt A7, East Elmhurst, NY 11369, USA",New York,11369,Queens County,East Elmhurst,93rd St,40.7586799,-73.8755
2329,Exp Realty,Co-op for sale,189999,1,1,2184,"3230 93rd St Apt A7, East Elmhurst, NY 11369, USA",New York,11369,Queens County,East Elmhurst,93rd St,40.7586799,-73.8755
2330,TALK OF THE TOWN REALTY C,House for sale,699000,3,3,2835,"4716 Avenue H, Brooklyn, NY 11234, USA",New York,11234,Kings County,Brooklyn,Avenue H,40.6324811,-73.9306778
2331,Keller Williams Realty Greater Nassau,Condo for sale,349980,3,1,2184,"150-38 Union Tpke #8c, Flushing, NY 11367, USA",New York,11367,Queens County,Flushing,Union Tpke,40.7187728,-73.811168
2332,Re/Max Elite,House for sale,399888,3,4,1613,"765 E 224th St, Bronx, NY 10466, USA",New York,10466,Bronx County,Bronx,224th St,40.8865894,-73.8585038
2333,CENTURY 21 Zaloom Realty,Pending,1199900,4,4,2393,"251 Wilson Ave, Staten Island, NY 10308, USA",New York,10308,Richmond County,Staten Island,Wilson Ave,40.5477774,-74.160225
2334,COMPASS,Condo for sale,1395000,3,4,2472,"52 Convent Ave #1c, New York, NY 10027, USA",New York,10027,New York County,New York,Convent Ave,40.8150812,-73.9533178
2335,TREE OF LIFE REALTY & MANAGEMENT LLC,House for sale,2759000,6,6,2184,"163 Whitman Dr, Brooklyn, NY 11234, USA",New York,11234,Kings County,Brooklyn,Whitman Dr,40.6093711,-73.9025693
2336,Brown Harris Stevens,Condo for sale,2995000,4,3,2135,"303 W 113th St #2, New York, NY 10026, USA",New York,10026,New York County,New York,113th St,40.802892,-73.957154
2337,Brown Harris Stevens W Hampton,Co-op for sale,399000,1,1,2184,"102-10 66th Rd #14a, Flushing, NY 11375, USA",New York,11375,Queens County,Forest Hills,66th Rd,40.7282586,-73.8513251
2338,Douglas Elliman  -111 Fifth Ave,Multi-family home for sale,16995000,5,4,4230,"31 Grove St, New York, NY 10014, USA",New York,10014,New York County,New York,Grove St,40.7328257,-74.0048853
2339,Corcoran Chelsea/Flatiron,Co-op for sale,650000,2,1,1060,"860 W 181st St Apt 56, New York, NY 10033, USA",New York,10033,New York County,New York,181st St,40.8511616,-73.9408472
2340,TALK OF THE TOWN REALTY C,House for sale,2599000,4,3,3510,"2634 National Dr, Brooklyn, NY 11234, USA",New York,11234,Kings County,Brooklyn,National Dr,40.6063914,-73.9020181
2341,COMPASS,Townhouse for sale,1195000,4,2,2625,"449 Classon Ave, Brooklyn, NY 11238, USA",New York,11238,Kings County,Brooklyn,Classon Ave,40.685396,-73.959061
2342,"BEN BAY REALTY CO OF BAY RIDGE, LLC",House for sale,1288000,3,2,1188,"340 86th St, Brooklyn, NY 11209, USA",New York,11209,Kings County,Brooklyn,86th St,40.6229377,-74.0298947
2343,Corcoran Williamsburg Bedford,Condo for sale,2099000,2,2,1447,"79 Bridge St #5c, Brooklyn, NY 11201, USA",New York,11201,Kings County,Brooklyn,Bridge St,40.7019045,-73.9844236
2344,KELLER WILLIAMS REALTY LANDMARK II,Multi-family home for sale,1275000,5,3,1920,"236 45th St, Brooklyn, NY 11220, USA",New York,11220,Kings County,Brooklyn,45th St,40.6512263,-74.0131317
2345,New York Realty Minimax,Multi-family home for sale,1999999,12,6,2184,"726 Metropolitan Ave #6b, Brooklyn, NY 11211, USA",New York,11211,Kings County,Brooklyn,Metropolitan Ave,40.7142948,-73.9448148
2346,Douglas Elliman  -111 Fifth Ave,Multi-family home for sale,16995000,5,4,4230,"31 Grove St, New York, NY 10014, USA",New York,10014,New York County,New York,Grove St,40.7328257,-74.0048853
2347,COMPASS,Townhouse for sale,10750000,8,2,7327,"141 E 63rd St, New York, NY 10065, USA",New York,10065,New York County,New York,63rd St,40.764757,-73.965815
2348,COMPASS,Co-op for sale,650000,1,1,2184,"165 E 60th St #5c, New York, NY 10065, USA",New York,10065,New York County,New York,60th St,40.762566,-73.9667017
2349,Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,4800000,3,4,3475,"61 E 82nd St #1a, New York, NY 10028, USA",New York,10028,New York County,New York,82nd St,40.778129,-73.9598269
2350,Douglas Elliman - 2112 Frederick Douglass Blvd,Multi-family home for sale,1279900,3,2,3812,"51 E 126th St, New York, NY 10035, USA",New York,10035,New York County,New York,126th St,40.8062253,-73.9393116
2351,RE MAX 1st Choice,Multi-family home for sale,1680000,7,4,3780,"214-03 16th Ave, Flushing, NY 11360, USA",New York,11360,Queens County,Bayside,16th Ave,40.785705,-73.778612
2352,Chous Realty Group Inc,Co-op for sale,299000,1,1,850,"68-09 138th St #2b, Flushing, NY 11367, USA",New York,11367,Queens County,Flushing,138th St,40.7313319,-73.8284665
2353,Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,845000,1,1,2184,"120 Central Park S #3g, New York, NY 10019, USA",New York,10019,New York County,New York,Central Park S,40.7659315,-73.9773407
2354,Corcoran West Side,Co-op for sale,415000,3,1,2184,"233 E 70th St #6r, New York, NY 10021, USA",New York,10021,New York County,New York,70th St,40.7678195,-73.9594251
2355,Charles H. Greenthal Property,Co-op for sale,449000,1,2,1213,"27110 Grand Central Pkwy #5l, Queens Village, NY 11005, USA",New York,11005,Queens County,Floral Park,Grand Pkwy,40.7564761,-73.7212008
2356,COMPASS,Condo for sale,1250000,3,2,1287,"365 Bridge St #8j, Brooklyn, NY 11201, USA",New York,11201,Kings County,Brooklyn,Bridge St,40.6925905,-73.9849373
2357,Corcoran Bedford Stuyvesant,Townhouse for sale,4395000,5,4,2184,"425 Pacific St, Brooklyn, NY 11217, USA",New York,11217,Kings County,Brooklyn,Pacific St,40.6859683,-73.9839494
2358,COMPASS,Co-op for sale,315000,1,1,2184,"35-51 85th St #6f, Jackson Heights, NY 11372, USA",New York,11372,Queens County,Jackson Heights,85th St,40.7507495,-73.8811907
2359,COMPASS,Co-op for sale,499000,2,1,900,"7901 4th Ave #22, Brooklyn, NY 11209, USA",New York,11209,Kings County,Brooklyn,4th Ave,40.6273371,-74.0262024
2360,"Dawning Real Estate, Inc.",House for sale,699000,3,2,1700,"752 Correll Ave, Staten Island, NY 10309, USA",New York,10309,Richmond County,Staten Island,Correll Ave,40.545028,-74.218133
2361,THE BOX ADVISORY LLC,Condo for sale,625000,4,2,1268,"762 Empire Blvd #4d, Brooklyn, NY 11213, USA",New York,11213,Kings County,Brooklyn,Empire Blvd,40.6634769,-73.936924
2362,City Realty Group,House for sale,749000,3,2,2184,"31-10 95th St, Flushing, NY 11369, USA",New York,11369,Queens County,East Elmhurst,95th St,40.7602045,-73.8739584
2363,American Homes Group,Multi-family home for sale,949000,4,2,1600,"154 E 22nd St, Brooklyn, NY 11226, USA",New York,11226,Kings County,Brooklyn,22nd St,40.6452346,-73.9569371
2364,COMPASS,Co-op for sale,1495000,3,1,2184,"349 6th Ave Apartment 2, Brooklyn, NY 11215, USA",New York,11215,Kings County,Brooklyn,6th Ave,40.670754,-73.981349
2365,Brown Harris Stevens,Townhouse for sale,2395000,6,4,3972,"438 W 162nd St, New York, NY 10032, USA",New York,10032,New York County,New York,162nd St,40.8351954,-73.9390016
2366,THE BOX ADVISORY LLC,Condo for sale,625000,4,2,1268,"762 Empire Blvd #4d, Brooklyn, NY 11213, USA",New York,11213,Kings County,Brooklyn,Empire Blvd,40.6634769,-73.936924
2367,Momentum Real Estate Llc,House for sale,1250000,3,4,3328,"19 Park Ln, Staten Island, NY 10301, USA",New York,10301,Richmond County,Staten Island,Park Ln,40.619844,-74.0889182
2368,City Realty Group,House for sale,749000,3,2,2184,"31-10 95th St, Flushing, NY 11369, USA",New York,11369,Queens County,East Elmhurst,95th St,40.7602045,-73.8739584
2369,Stuyvesant Heights Realty Corp,Multi-family home for sale,3165000,9,5,2184,"278 Decatur St, Brooklyn, NY 11233, USA",New York,11233,Kings County,Brooklyn,Decatur St,40.6813796,-73.9323311
2370,Brown Harris Stevens,Co-op for sale,205000,1,1,2184,"2750 Johnson Ave #5c, Bronx, NY 10463, USA",New York,10463,Bronx County,Bronx,Johnson Ave,40.8801731,-73.91173
2371,Amorelli Realty LLC,Condo for sale,1198000,1,2,2184,"22-11 33rd St #1d, Astoria, NY 11105, USA",New York,11105,Queens County,Astoria,33rd St,40.7749092,-73.9098235
2372,eXp Realty BKNY,House for sale,2199000,3,3,3454,"181 Hastings St, Brooklyn, NY 11235, USA",New York,11235,Kings County,Brooklyn,Hastings St,40.5782802,-73.9442713
2373,COMPASS,Co-op for sale,5495000,3,2,3000,"144 Franklin St #3f, New York, NY 10013, USA",New York,10013,New York County,New York,Franklin St,40.7193802,-74.0075316
2374,Elegran Real Estate And Development,Co-op for sale,625000,1,1,2184,"55 E 65th St #4b, New York, NY 10065, USA",New York,10065,New York County,New York,65th St,40.7669715,-73.9674377
2375,5 Boro Realty Corp,House for sale,1449999,3,2,1890,"768 Herkimer St, Brooklyn, NY 11233, USA",New York,11233,Kings County,Brooklyn,Herkimer St,40.6783124,-73.928113
2376,Cross Island Realty One Inc,House for sale,1399000,5,4,2184,"256-16 86th Ave, Queens, NY 11001, USA",New York,11001,Nassau County,Floral Park,86th Ave,40.7326463,-73.7097434
2377,Douglas Elliman - 575 Madison Ave,Co-op for sale,525000,3,1,322,"230 Central Park W #6h, New York, NY 10024, USA",New York,10024,New York County,New York,Central Park W,40.7836703,-73.9709274
2378,COMPASS,Townhouse for sale,12000000,4,2,5500,"22 E 78th St, New York, NY 10075, USA",New York,10075,New York County,New York,78th St,40.7756853,-73.9632303
2379,RE MAX Real Estate Professionals,House for sale,1299000,3,2,1700,"74 89th St, Brooklyn, NY 11209, USA",New York,11209,Kings County,Brooklyn,89th St,40.622512,-74.038316
2380,Private Homes Realty LLC,Co-op for sale,269000,1,1,2184,"3721 80th St Apt 6b, Jackson Heights, NY 11372, USA",New York,11372,Queens County,Jackson Heights,80th St,40.7490728,-73.8859424
2381,COMPASS,Co-op for sale,450000,1,1,2184,"152 E 83rd St #3d, New York, NY 10028, USA",New York,10028,New York County,New York,83rd St,40.777093,-73.956552
2382,Spiegel Realty LLC,Multi-family home for sale,899999,4,2,2194,"243 Deems Ave, Staten Island, NY 10314, USA",New York,10314,Richmond County,Staten Island,Deems Ave,40.6172199,-74.1320669
2383,5 Boro Realty Corp,House for sale,925000,2,2,1077,"1336 Dean St, Brooklyn, NY 11216, USA",New York,11216,Kings County,Brooklyn,Dean St,40.6764806,-73.9446731
2384,Dreamlife Realty New York Llc,Co-op for sale,279000,1,1,600,"680 81st St #3d, Brooklyn, NY 11228, USA",New York,11228,Kings County,Brooklyn,81st St,40.6220567,-74.0200513
2385,Corcoran East Side,Condo for sale,1795000,2,2,2184,"230 Riverside Dr #8a, New York, NY 10025, USA",New York,10025,New York County,New York,Riverside Dr,40.7954592,-73.9753123
2386,Brown Harris Stevens - 130 Fifth Avenue,Pending,1250000,2,2,2184,"60 Gramercy Park N #2b, New York, NY 10010, USA",New York,10010,New York County,New York,Gramercy Park,40.7385938,-73.9863188
2387,RE MAX Edge,Condo for sale,560000,3,1,622,"4711 8th Ave #2b, Brooklyn, NY 11220, USA",New York,11220,Kings County,Brooklyn,8th Ave,40.6423834,-74.002033
2388,"Compass Greater Ny, Llc",House for sale,999000,3,2,1260,"423 Beach 126th St, Rockaway Park, NY 11694, USA",New York,11694,Queens County,Rockaway Park,126th St,40.5792491,-73.8470867
2389,Mitra Hakimi Realty Group LLC,Multi-family home for sale,1188000,6,2,2186,"188-39 Ilion Ave, Jamaica, NY 11412, USA",New York,11412,Queens County,Saint Albans,Ilion Ave,40.7021006,-73.7671144
2390,Lombardo Homes & Estates,House for sale,948888,3,1,950,"1611 Oriental Blvd, Brooklyn, NY 11235, USA",New York,11235,Kings County,Brooklyn,Oriental Blvd,40.5786958,-73.938485
2391,"Rising Star Realty and Property Management, Inc.",Condo for sale,735000,2,2,832,"1370 Bushwick Ave #2a, Brooklyn, NY 11207, USA",New York,11207,Kings County,Brooklyn,Bushwick Ave,40.6850765,-73.9107349
2392,Keller Williams NYC - New York Living Solutions,Multi-family home for sale,1399000,13,5,2184,"487 E 93rd St #1, Brooklyn, NY 11212, USA",New York,11212,Kings County,Brooklyn,93rd St,40.6550656,-73.9183469
2393,COMPASS,Co-op for sale,3600000,3,4,2184,"900 5th Ave #4b, New York, NY 10021, USA",New York,10021,New York County,New York,5th Ave,40.7719126,-73.967281
2394,COMPASS,Multi-family home for sale,1850000,8,4,5000,"216 E 117th St, New York, NY 10035, USA",New York,10035,New York County,New York,117th St,40.7981001,-73.9389098
2395,"Realmart Realty, LLC",Co-op for sale,789000,2,1,2184,"340 W 19th St Apt 4, New York, NY 10011, USA",New York,10011,New York County,New York,19th St,40.7432035,-74.0015019
2396,Ps 91 Real Estate,House for sale,569000,3,1,2184,"110-25 217th St, Queens Village, NY 11429, USA",New York,11429,Queens County,Queens Village,217th St,40.7079268,-73.7400399
2397,COMPASS,Condo for sale,1700000,2,2,1135,"2 Cornelia St APT 203, New York, NY 10014, USA",New York,10014,New York County,New York,Cornelia St,40.7315509,-74.0013914
2398,Corcoran Park Avenue South,Condo for sale,12995000,4,4,4155,"10 Greene St, New York, NY 10013, USA",New York,10013,New York County,New York,Greene St,40.7207039,-74.0027289
2399,Real Broker Llc,Co-op for sale,295000,2,1,613,"552 W 141st St #2d, New York, NY 10031, USA",New York,10031,New York County,New York,141st St,40.8233518,-73.9515728
2400,IZSA - Miriam Izsak Realty LLC,Co-op for sale,625000,1,1,650,"245 E 25th St #8l, New York, NY 10010, USA",New York,10010,New York County,New York,25th St,40.7395218,-73.9802307
2401,"Nest Seekers International, Tribeca",Condo for sale,399000,3,1,391,"30-38 29th St, Queens, NY 11102, USA",New York,11102,Queens County,Astoria,29th St,40.7668236,-73.9239725
2402,Douglas Elliman - 140 Franklin,Condo for sale,5700000,3,4,2357,"565 Broome St #9e, New York, NY 10013, USA",New York,10013,New York County,New York,Broome St,40.7242197,-74.0056368
2403,PULLINI REALTY CORP.,Condo for sale,618000,3,2,2184,"2805 E 28th St #1b, Brooklyn, NY 11235, USA",New York,11235,Kings County,Brooklyn,28th St,40.5846429,-73.9407155
2404,Morris Park Realty Group,Co-op for sale,149999,1,1,694,"5621 Netherland Ave #3c, Bronx, NY 10471, USA",New York,10471,Bronx County,Bronx,Netherland Ave,40.9049984,-73.9065719
2405,Corcoran West Side Gallery,Condo for sale,650000,3,1,550,"382 Central Park W #14b, New York, NY 10025, USA",New York,10025,New York County,New York,Central Park W,40.7935585,-73.9656011
2406,Chase Global Realty Corp,Multi-family home for sale,1990000,5,2,2184,"63-12 136th St, Flushing, NY 11367, USA",New York,11367,Queens County,Flushing,136th St,40.7398861,-73.8305343
2407,Bond New York- Columbus Circle,Co-op for sale,550000,1,1,2184,"57 W 93rd St #3g, New York, NY 10025, USA",New York,10025,New York County,New York,93rd St,40.7908539,-73.9681725
2408,"Foxworth Realty, Inc.",Co-op for sale,279000,1,1,2184,"3015 Riverdale Ave #6a, Bronx, NY 10463, USA",New York,10463,Bronx County,Bronx,Riverdale Ave,40.8809305,-73.9107494
2409,E Realty International Corp,Co-op for sale,399000,2,1,1090,"8811 Elmhurst Ave Apt A4, Elmhurst, NY 11373, USA",New York,11373,Queens County,Elmhurst,Elmhurst Ave,40.7455899,-73.8778899
2410,Modern Spaces,Townhouse for sale,2495000,3,2,4125,"16 Morgan Ave, Brooklyn, NY 11237, USA",New York,11237,Kings County,Brooklyn,Morgan Ave,40.7043492,-73.9310947
2411,Brown Harris Stevens - 445 Park Avenue,Townhouse for sale,3695000,10,8,2184,"315 E 51st St, New York, NY 10022, USA",New York,10022,New York County,New York,51st St,40.7553475,-73.9673212
2412,"Nest Seekers International, Southampton",Co-op for sale,299000,3,1,394,"321 E 54th St #3c, New York, NY 10022, USA",New York,10022,New York County,New York,54th St,40.7571764,-73.9656764
2413,"Tom Crimmins Realty, Ltd.",Condo for sale,239500,1,1,864,"50 Fort Pl #2, Staten Island, NY 10301, USA",New York,10301,Richmond County,Staten Island,Fort Pl,40.6414367,-74.0802253
2414,BESMATCH REAL ESTATE,Co-op for sale,235000,1,1,850,"Parking lot, 3512 Oxford Ave #1b, Bronx, NY 10463, USA",New York,10463,Bronx County,Bronx,Oxford Ave,40.8858375,-73.9088586
2415,Douglas Elliman - 575 Madison Ave,House for sale,680000,1,1,2184,"200 E 90th St #20d, New York, NY 10128, USA",New York,10128,New York County,New York,90th St,40.7810446,-73.9519172
2416,CENTURY 21 Homefront,House for sale,629000,3,3,1280,"419 Britton Ave, Staten Island, NY 10304, USA",New York,10304,Richmond County,Staten Island,Britton Ave,40.6086959,-74.0859469
2417,Momentum Real Estate Llc,Pending,1039000,3,2,2300,"8934 15th Ave, Brooklyn, NY 11228, USA",New York,11228,Kings County,Brooklyn,15th Ave,40.6049171,-74.0166722
2418,Master Associates Inc.,House for sale,2200000,3,2,3760,"302 Sheldon Ave, Staten Island, NY 10312, USA",New York,10312,Richmond County,Staten Island,Sheldon Ave,40.5450461,-74.1858995
2419,Sowae Corp,House for sale,380000,3,2,600,"51 Hill St, Brooklyn, NY 11208, USA",New York,11208,Kings County,Brooklyn,Hill St,40.6789407,-73.8712984
2420,Douglas Elliman - 575 Madison Ave,Co-op for sale,599000,2,2,2184,"6940 Yellowstone Blvd Apt 202, Forest Hills, NY 11375, USA",New York,11375,Queens County,Forest Hills,Yellowstone Blvd,40.7230099,-73.84699
2421,"Robert DeFalco Realty, Inc.",Townhouse for sale,530000,3,2,1280,"14 Long Pond Ln, Staten Island, NY 10304, USA",New York,10304,Richmond County,Staten Island,Long Ln,40.6155659,-74.0802854
2422,Keller Williams NYC,Condop for sale,598000,1,1,2184,"333 E 46th St #17e, New York, NY 10017, USA",New York,10017,New York County,New York,46th St,40.7520734,-73.9690003
